epoch,loss,mape,val_loss,val_mape
0,1.2689950466156006,15.694863319396973,1.1135363578796387,13.249215126037598
1,0.7183423042297363,9.204360961914062,0.6426929235458374,7.807187557220459
2,0.6474289894104004,8.303886413574219,0.6348798274993896,8.193115234375
3,0.6111200451850891,7.857780456542969,0.6823693513870239,8.473563194274902
4,0.5871513485908508,7.566330909729004,0.6962005496025085,9.901660919189453
5,0.5696936249732971,7.35045051574707,0.5836510062217712,7.565163612365723
6,0.5556988716125488,7.181058883666992,0.623744785785675,8.24736499786377
7,0.5447381138801575,7.048792839050293,0.632788896560669,7.92681884765625
8,0.5355014204978943,6.938793659210205,0.6877536773681641,8.815723419189453
9,0.5275569558143616,6.842061519622803,0.7590398192405701,9.098631858825684
